City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Brodick,GB,55.5754,-5.1472,60.64,64,25,3.91,scattered clouds
180,Baracoa,CU,20.3467,-74.4958,85.51,65,100,2.8,overcast clouds
181,Geraldton,AU,-28.7667,114.6,48.61,87,90,6.91,overcast clouds
182,Alofi,NU,-19.0595,-169.9187,75.09,88,10,11.5,clear sky
183,Ust-Nera,RU,64.5667,143.2,52.18,79,100,6.24,overcast clouds
184,Margate,GB,51.3813,1.3862,63.88,59,18,5.97,few clouds
185,Gora,PL,51.6664,16.5349,72.07,57,68,14.36,broken clouds
186,Ampanihy,MG,-24.7,44.75,62.73,73,53,7.43,broken clouds
187,Tommot,RU,58.9564,126.2925,47.34,94,100,1.03,overcast clouds
188,Sawtell,AU,-30.3833,153.1,45.19,87,99,2.3,overcast clouds
189,Ahipara,NZ,-35.1667,173.1667,60.84,90,88,12.21,overcast clouds
190,Draguseni,RO,45.9667,27.75,80.64,45,66,3.83,broken clouds
191,Salina,US,38.8403,-97.6114,64.02,63,100,17.27,overcast clouds
192,Otane,NZ,-39.8833,176.6333,62.01,75,0,7.27,clear sky
193,Klaksvik,FO,62.2266,-6.589,50.92,85,12,14.81,few clouds
194,Mairana,BO,-18.1167,-63.9333,55.44,95,100,3.76,overcast clouds
195,Beruwala,LK,6.4788,79.9828,80.58,84,48,13.4,scattered clouds
196,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,12.66,few clouds
197,Ponta Do Sol,PT,32.6667,-17.1,76.71,67,20,9.8,few clouds
198,Baijiantan,CN,45.6333,85.1833,75.16,29,85,26.06,overcast clouds
199,Novyy Urengoy,RU,66.0833,76.6333,35.78,65,100,20.92,overcast clouds
200,Narsaq,GL,60.9167,-46.05,53.82,60,100,5.08,overcast clouds
201,Cabo San Lucas,MX,22.8909,-109.9124,82.62,79,29,4.0,scattered clouds
202,Kendari,ID,-3.945,122.4989,76.05,93,20,2.21,few clouds
203,Panzhihua,CN,26.5851,101.7128,73.78,86,99,0.92,overcast clouds
204,Portland,US,45.5234,-122.6762,64.74,77,100,5.75,overcast clouds
205,Robertsport,LR,6.7533,-11.3686,82.99,72,100,9.28,light rain
206,Sao Filipe,CV,14.8961,-24.4956,78.1,68,84,10.51,broken clouds
207,Sume,BR,-7.6717,-36.88,80.28,59,89,9.28,overcast clouds
208,Vestmannaeyjar,IS,63.4427,-20.2734,50.5,84,35,16.75,scattered clouds
209,Manokwari,ID,-0.8667,134.0833,80.17,81,47,4.99,scattered clouds
210,Tomatlan,MX,19.9333,-105.25,82.6,54,75,3.51,broken clouds
211,Quixada,BR,-4.9714,-39.0153,83.82,64,70,8.48,broken clouds
212,Rocky Mountain House,CA,52.3668,-114.9188,53.71,43,56,2.3,broken clouds
213,Souillac,MU,-20.5167,57.5167,73.78,68,20,11.5,few clouds
214,Sola,VU,-13.8833,167.55,75.87,94,40,0.0,scattered clouds
215,Youkounkoun,GN,12.5333,-13.1333,102.74,26,18,2.95,few clouds
216,Douglas,US,41.3,-96.167,66.38,61,0,3.44,clear sky
217,Emerald,AU,-23.5333,148.1667,59.34,63,99,10.76,overcast clouds
218,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,88,40,14.83,scattered clouds
219,Naryan-Mar,RU,67.6713,53.087,53.08,43,96,12.21,overcast clouds
220,Palmer,US,42.1584,-72.3287,68.22,66,100,5.75,overcast clouds
221,Khorol,UA,49.7837,33.2783,76.53,69,18,2.68,few clouds
222,Hovd,MN,48.0056,91.6419,60.64,41,60,16.87,broken clouds
223,Nampula,MZ,-15.1165,39.2666,73.35,60,40,9.22,scattered clouds
224,Torbay,CA,47.6666,-52.7314,42.58,96,100,12.66,light intensity drizzle
225,Quatre Cocos,MU,-20.2078,57.7625,75.09,70,16,12.91,light rain
226,Lewistown,US,40.5992,-77.5714,90.21,54,100,9.22,overcast clouds
227,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,81,75,4.47,broken clouds
228,Pangnirtung,CA,66.1451,-65.7125,33.8,86,100,6.91,overcast clouds
229,Rudbar,AF,30.15,62.6,87.91,9,0,20.74,clear sky
230,Krasnoselkup,RU,65.7,82.4667,35.69,85,100,16.82,light rain
231,Khorixas,NA,-20.3667,14.9667,75.2,6,1,12.88,clear sky
232,Ledyard,US,41.4398,-72.0142,67.41,61,100,10.36,overcast clouds
233,Mosquera,CO,4.7059,-74.2302,64.49,55,75,6.91,broken clouds
234,Omboue,GA,-1.5746,9.2618,77.34,82,83,7.74,broken clouds
235,Axim,GH,4.8699,-2.2405,83.03,72,93,8.57,overcast clouds
236,North Bend,US,43.4065,-124.2243,55.17,99,100,4.61,overcast clouds
237,Ugoofaaru,MV,5.6667,73.0,82.76,77,100,19.28,overcast clouds
238,Manyana,BW,-23.4,21.7167,58.77,17,0,8.61,clear sky
239,Meulaboh,ID,4.1363,96.1285,75.76,95,100,7.38,heavy intensity rain
240,Hobyo,SO,5.3505,48.5268,79.25,80,15,27.49,few clouds
241,Bosaso,SO,11.2842,49.1816,87.03,64,100,1.57,overcast clouds
242,Rio Grande,BR,-32.035,-52.0986,53.71,59,100,6.38,overcast clouds
243,Galesong,ID,-5.3166,119.3661,77.02,85,51,7.18,broken clouds
244,Matay,EG,28.419,30.7792,92.5,16,3,15.7,clear sky
245,East London,ZA,-33.0153,27.9116,59.94,63,0,5.75,clear sky
246,Kabare,CD,-2.4683,28.8242,62.56,95,77,2.77,moderate rain
247,Salalah,OM,17.0151,54.0924,86.09,74,75,10.36,broken clouds
248,Atar,MR,20.5169,-13.0499,105.85,11,7,17.27,clear sky
249,Sisimiut,GL,66.9395,-53.6735,40.48,54,9,11.3,clear sky
250,Bagh,IN,22.3667,74.7667,97.63,17,8,9.17,clear sky
251,Lagoa,PT,39.05,-27.9833,61.39,84,92,10.87,overcast clouds
252,Flinders,AU,-34.5833,150.8552,51.19,69,3,4.0,clear sky
253,Puerto Colombia,CO,10.9878,-74.9547,86.09,65,100,7.38,overcast clouds
254,Qaqortoq,GL,60.7167,-46.0333,42.39,72,100,3.83,overcast clouds
255,Baghdad,IQ,33.3406,44.4009,103.91,8,0,6.91,clear sky
256,Sioux Lookout,CA,50.1001,-91.917,51.87,62,40,12.66,scattered clouds
