City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Iquique,CL,2022-05-26 17:06:12,-20.2208,-70.1431,64.44,69,2,4.23
260,Hami,CN,2022-05-26 17:06:13,42.8,93.45,83.21,18,86,8.61
261,Port Lincoln,AU,2022-05-26 17:06:13,-34.7333,135.8667,55.89,83,4,5.06
262,Tigil,RU,2022-05-26 17:06:13,57.8,158.6667,41.63,96,100,3.2
263,Buzmeyin,TM,2022-05-26 17:06:14,38.0507,58.2056,73.24,40,100,12.26
264,Pacific Grove,US,2022-05-26 17:06:14,36.6177,-121.9166,57.31,91,100,11.99
265,Carire,BR,2022-05-26 17:06:15,-3.9506,-40.4733,82.56,73,70,2.55
266,La Presa,US,2022-05-26 17:06:15,32.7081,-116.9973,79.77,73,0,9.22
267,Morehead,US,2022-05-26 17:06:16,37.2711,-87.1764,72.99,87,100,14.97
268,Wagar,SD,2022-05-26 17:06:16,16.1525,36.2032,100.81,11,0,3.94
269,Aykhal,RU,2022-05-26 17:06:17,66.0,111.5,29.08,71,76,10.71
270,Ugoofaaru,MV,2022-05-26 17:06:17,5.6667,73.0,82.65,74,100,14.5
271,Pacasmayo,PE,2022-05-26 17:06:17,-7.4006,-79.5714,69.15,73,75,13.09
272,Arlit,NE,2022-05-26 17:06:18,18.7369,7.3853,106.12,10,48,1.54
273,Guerrero Negro,MX,2022-05-26 17:06:13,27.9769,-114.0611,69.78,59,0,10.07
274,Port Keats,AU,2022-05-26 17:06:18,-14.25,129.55,71.37,48,57,7.05
275,Mitzic,GA,2022-05-26 17:02:16,0.7821,11.549,68.13,99,100,3.0
276,Surgut,RU,2022-05-26 17:04:02,61.25,73.4167,68.18,49,20,8.99
277,Mar Del Plata,AR,2022-05-26 17:05:27,-38.0023,-57.5575,53.62,63,40,9.22
278,Rauma,FI,2022-05-26 17:06:19,61.1272,21.5113,55.44,75,100,3.91
279,Rio Gallegos,AR,2022-05-26 17:01:44,-51.6226,-69.2181,43.56,59,31,29.73
280,Besikduzu,TR,2022-05-26 17:06:19,41.052,39.2284,60.69,74,13,6.06
281,Moranbah,AU,2022-05-26 17:06:20,-22.0016,148.0466,61.81,81,0,6.26
282,Grindavik,IS,2022-05-26 17:06:20,63.8424,-22.4338,52.27,58,40,20.71
283,Cherskiy,RU,2022-05-26 17:06:20,68.75,161.3,31.57,78,100,14.03
284,Pangnirtung,CA,2022-05-26 17:06:21,66.1451,-65.7125,17.74,83,36,5.93
285,Xam Nua,LA,2022-05-26 17:06:21,20.4197,104.0439,67.77,93,95,3.04
286,Qujing,CN,2022-05-26 17:06:22,25.4833,103.7833,63.3,96,100,2.86
287,San-Pedro,CI,2022-05-26 17:06:22,4.7485,-6.6363,81.54,74,73,7.67
288,Cheremukhovo,RU,2022-05-26 17:06:22,60.3484,59.9851,44.19,77,80,2.28
289,Beloha,MG,2022-05-26 17:06:23,-25.1667,45.05,68.27,83,6,6.46
290,Sao Gabriel Da Cachoeira,BR,2022-05-26 17:06:23,-0.1303,-67.0892,90.01,49,76,6.76
291,Dataganj,IN,2022-05-26 17:06:24,28.0333,79.4,93.25,23,0,0.54
292,South Venice,US,2022-05-26 17:06:24,27.0531,-82.4243,90.07,64,20,14.97
