City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Upernavik,GL,72.7868,-56.1549,26.2,80,28,16.51,scattered clouds
175,Pangnirtung,CA,66.1451,-65.7125,25.3,90,41,4.97,scattered clouds
176,Marmato,CO,5.4784,-75.5927,69.17,99,100,2.17,overcast clouds
177,Banda Aceh,ID,5.5577,95.3222,84.56,66,49,13.51,scattered clouds
178,Aden,YE,12.7794,45.0367,85.6,73,12,19.46,few clouds
179,Ostrovnoy,RU,68.0531,39.5131,37.72,83,99,5.55,overcast clouds
180,Salinopolis,BR,-0.6136,-47.3561,78.19,86,32,6.38,scattered clouds
181,Vostok,RU,46.4856,135.8833,46.87,93,100,3.83,light rain
182,Kruisfontein,ZA,-34.0033,24.7314,53.89,81,10,23.49,light rain
183,Kobryn,BY,52.2138,24.3564,42.98,96,100,7.0,overcast clouds
184,Savyntsi,UA,49.4026,37.0627,59.76,93,85,7.31,overcast clouds
185,Naples,IT,40.8333,14.25,71.15,78,22,3.0,few clouds
186,Naze,JP,28.3667,129.4833,74.32,82,100,7.05,overcast clouds
187,Matara,LK,5.9485,80.5353,75.99,95,100,12.97,moderate rain
188,Strezhevoy,RU,60.7333,77.5889,52.57,49,5,6.51,clear sky
189,Half Moon Bay,US,37.4636,-122.4286,69.71,68,0,31.07,haze
190,Biak,ID,-0.9131,122.8766,83.34,72,97,2.39,overcast clouds
191,Jiayuguan,CN,39.8167,98.3,75.06,14,40,11.43,scattered clouds
192,Nisia Floresta,BR,-6.0911,-35.2086,79.18,94,26,4.52,light rain
193,Lebu,CL,-37.6167,-73.65,43.65,78,0,10.87,clear sky
194,Freeport,US,40.6576,-73.5832,80.58,74,0,8.05,clear sky
195,Barre,US,44.197,-72.5021,74.73,44,100,3.29,overcast clouds
196,Floriano,BR,-6.7669,-43.0225,77.95,74,78,3.62,broken clouds
197,Bengkulu,ID,-3.8004,102.2655,81.34,75,89,4.45,moderate rain
198,Kavieng,PG,-2.5744,150.7967,84.7,70,100,12.75,overcast clouds
199,Port Hardy,CA,50.6996,-127.4199,55.58,76,75,6.91,broken clouds
200,Yorosso,ML,12.3536,-4.7761,78.15,65,100,6.58,overcast clouds
201,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,49,75,12.66,broken clouds
202,Port Lincoln,AU,-34.7333,135.8667,56.48,52,100,23.35,overcast clouds
203,Sabla,NG,12.7525,4.7077,87.53,47,55,11.14,broken clouds
204,Montrose,US,38.4166,-108.2673,53.01,28,58,7.05,broken clouds
205,Anchorage,US,61.2181,-149.9003,74.28,32,0,9.22,clear sky
206,Avera,US,33.194,-82.5271,73.45,83,91,5.3,overcast clouds
207,Avarua,CK,-21.2078,-159.775,73.45,94,75,12.66,broken clouds
208,Tura,IN,25.5198,90.2201,78.58,88,62,4.03,broken clouds
209,Tautira,PF,-17.7333,-149.15,79.12,68,25,4.56,scattered clouds
210,Hualmay,PE,-11.0964,-77.6139,62.11,85,26,6.44,scattered clouds
211,El Cairo,CO,4.7591,-76.2223,58.35,99,100,2.59,overcast clouds
212,Qaqortoq,GL,60.7167,-46.0333,38.52,85,100,4.59,overcast clouds
213,Ust-Omchug,RU,61.15,149.6333,43.36,83,100,9.44,overcast clouds
214,Ribeira Grande,PT,38.5167,-28.7,60.3,77,75,14.79,broken clouds
215,Tambopata,PE,-12.7333,-69.1833,75.88,82,100,1.45,overcast clouds
216,Hobyo,SO,5.3505,48.5268,78.12,84,5,22.48,clear sky
217,San Cristobal,VE,7.7669,-72.225,75.38,95,42,2.01,scattered clouds
218,Zyryanka,RU,65.75,150.85,56.57,62,100,5.41,overcast clouds
219,Pyshchug,RU,58.8873,45.7134,50.02,95,96,2.95,overcast clouds
220,Monaragala,LK,6.8714,81.3487,77.85,80,100,4.88,overcast clouds
221,Morondava,MG,-20.2833,44.2833,68.34,75,0,10.87,clear sky
222,Saint-Pierre,RE,-21.3393,55.4781,69.91,78,100,11.5,overcast clouds
223,Dawlatabad,AF,36.4141,64.9053,70.86,30,0,9.8,clear sky
224,Ambon,ID,-3.6954,128.1814,84.34,79,20,2.3,few clouds
225,Haines Junction,CA,60.7522,-137.5108,71.55,17,6,11.5,clear sky
226,Constitucion,CL,-35.3333,-72.4167,43.92,67,0,5.66,clear sky
227,Lavrentiya,RU,65.5833,-171.0,41.52,79,88,5.12,overcast clouds
228,Marsh Harbour,BS,26.5412,-77.0636,78.39,70,100,15.75,moderate rain
229,Nikolskoye,RU,59.7035,30.7861,57.79,73,81,8.79,broken clouds
230,Cabanas,CU,22.9758,-82.9219,77.32,84,100,5.06,overcast clouds
231,Nanortalik,GL,60.1432,-45.2371,37.24,92,100,4.32,overcast clouds
232,Nouadhibou,MR,20.931,-17.0347,69.78,83,0,14.97,clear sky
233,Pomabamba,PE,-8.8333,-77.4667,48.16,85,39,3.44,scattered clouds
234,Moradabad,IN,28.8333,78.7833,93.74,18,0,3.76,clear sky
235,Turan,VN,16.0678,108.2208,87.78,66,20,0.0,few clouds
236,Sembakung,ID,3.8167,117.25,86.45,66,100,1.88,moderate rain
237,Huarmey,PE,-10.0681,-78.1522,62.85,86,39,7.61,scattered clouds
238,Tornio,FI,65.8481,24.1466,53.62,78,100,8.7,overcast clouds
239,Ponta Do Sol,PT,32.6667,-17.1,62.71,81,77,8.88,broken clouds
240,Batemans Bay,AU,-35.7167,150.1833,56.1,50,11,13.91,few clouds
241,Cadillac,US,44.2519,-85.4012,77.09,50,0,9.22,clear sky
242,Sambava,MG,-14.2667,50.1667,72.48,77,57,11.97,broken clouds
243,Baruun-Urt,MN,46.6806,113.2792,60.64,27,5,9.51,clear sky
244,Kargopol,RU,61.5071,38.9456,50.58,95,7,0.45,clear sky
245,Erenhot,CN,43.6475,111.9767,63.25,26,100,5.57,overcast clouds
246,Skovorodino,RU,53.9833,123.9167,52.25,77,100,4.56,light rain
247,Wanaka,NZ,-44.7,169.15,57.72,73,52,8.95,broken clouds
248,Samarai,PG,-10.6167,150.6667,81.77,71,85,7.49,overcast clouds
249,Alofi,NU,-19.0595,-169.9187,82.29,78,75,8.05,broken clouds
250,Kapoeta,SS,4.7717,33.5903,70.45,87,23,0.54,light rain
251,Ilo,PE,-17.6394,-71.3375,63.46,77,100,2.3,overcast clouds
252,Vao,NC,-22.6667,167.4833,76.59,85,46,15.88,scattered clouds
253,Kainantu,PG,-6.2887,145.8655,72.68,63,99,5.86,overcast clouds
254,Maloy,NO,61.9353,5.1136,48.72,81,90,5.75,overcast clouds
255,Hervey Bay,AU,-25.2986,152.8535,66.02,50,93,15.82,overcast clouds
256,Narrabri,AU,-30.3167,149.7833,56.52,72,71,5.01,broken clouds
257,Lata,PT,40.1629,-8.3327,63.07,86,67,3.78,broken clouds
258,The Pas,CA,53.8251,-101.2541,50.02,76,100,16.11,overcast clouds
259,Monrovia,LR,6.3005,-10.7969,77.94,86,95,4.63,moderate rain
260,Palmer,US,42.1584,-72.3287,76.55,72,75,6.91,broken clouds
261,Oranjemund,NA,-28.55,16.4333,50.77,71,0,8.75,clear sky
262,Dunedin,NZ,-45.8742,170.5036,59.81,62,0,8.01,clear sky
263,Nemuro,JP,43.3236,145.575,43.79,96,100,11.7,overcast clouds
264,Agirish,RU,61.9247,63.0231,43.68,74,92,7.83,overcast clouds
265,Bandarbeyla,SO,9.4942,50.8122,80.08,71,98,25.52,overcast clouds
266,Langerwehe,DE,50.8167,6.35,52.16,81,100,4.65,overcast clouds
267,Sobolevo,RU,54.4299,31.8996,53.11,96,86,7.14,overcast clouds
268,Aklavik,CA,68.2191,-135.0107,36.72,100,100,4.07,overcast clouds
269,Ancud,CL,-41.8697,-73.8203,41.04,80,87,5.3,overcast clouds
270,Pevek,RU,69.7008,170.3133,34.84,86,100,4.52,overcast clouds
271,Chihuahua,MX,28.5,-106.0,90.43,12,0,12.3,clear sky
272,Keti Bandar,PK,24.1447,67.4497,82.17,81,26,19.89,scattered clouds
273,San Patricio,US,28.017,-97.5169,82.83,82,7,16.02,clear sky
274,Afua,BR,-0.1567,-50.3867,74.16,95,71,3.29,broken clouds
275,Gat,IL,31.61,34.7642,75.4,66,0,1.95,clear sky
276,Carbonear,CA,47.7332,-53.2148,57.04,73,100,4.99,overcast clouds
